"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 10:46:06 IST 2023","Wed Nov 08 10:46:21 IST 2023","14605","OrangeHRM-Generate new employee report","","","","","TCs1: OrangeHRM-Assert report table",""
"passed","Wed Nov 08 10:46:06 IST 2023","Wed Nov 08 10:46:18 IST 2023","11812","","OrangeHRM-Generate new employee report","","","","TCs1: OrangeHRM-Assert report table",""
